Noise unique,Total  Emails,Message ID,Closeness 1 .. 100,Not Closenss 1 .. 100
bhvx:1_bbDCVqZJJgsAAAWX,bhvx:1_3xQ2QfbHnZYAAAIQ,R1r1UYqA|E21b2,bhvx:1_RMR7v9yOyoYAAHTE,bhvx:1_LnMI7J1FSIQAABPD
bhvx:1_VZHdJoRpTKIAAAU1,bhvx:1_hwOlxdzr5IkAAAGk,GE2YOEqA|Ec10,bhvx:1_i5Sh1lh1+kIAAB8e,bhvx:1_1WFbY9JgHHEAAEQc
bhvx:1_QF+qyBaoxiAAAATK,bhvx:1_6SxfsP+r7M4AAASz,fQVSuIqA|E3606,bhvx:1_z57A5O62lQQAAIGa,bhvx:1_VW/aV2ykwU8ARebR
bhvx:1_dQdTgHzyK48AADzf,bhvx:1_bWb1pIcEgM0ABDGT,4v1UBYqA|Eae7,bhvx:1_2InzaPliXDIAACdR,bhvx:1_Nt/wOKpzBr8AAAfn
bhvx:1_GR2sJSfIDD0AAAX0,bhvx:1_4IfKUCkDhMwAAEem,BkHuSEqA|E2f40,bhvx:1_4A5IvWSb5uEAAAxA,bhvx:1_LuUas0u3DhQAAAXt
bhvx:1_+J0k+7wtsdQAAaqv,bhvx:1_L3RkYFMg5GMAAAVY,D6CFQYqA|E1de0,bhvx:1_L8+tTYARuroABazm,bhvx:1_YGzbN3QZ7EsAAE+P
bhvx:1_yLbUfZ3ElLgAAAUZ,bhvx:1_OIkWMQ2rVF8AAAqi,dxE34wqA|Ef96,bhvx:1_5qXl2umsO2YAACow,bhvx:1_86l4ddt3JHYAAAx4
bhvx:1_Vy7mx9A1X0MAAARk,bhvx:1_IRXfqzTCr2YAAAbS,RJUujEqA|E371a,bhvx:1_3xQ2QfbHnZYAAAIQ,bhvx:1_Tu5sqWEsWakAABvi
bhvx:1_QcvQotdgzCkAAAUu,bhvx:1_HmOkAN9b9SAAABAz,moMjnwqA|E31f9,bhvx:1_kVuWkaYga5EAAIJG,bhvx:1_4IfKUCkDhMwAAEem
bhvx:1_skRNpdvzXhQAAAUU,bhvx:1_H4C+/3zstw0AAAs9,voE1iEqA|E36ed,bhvx:1_4IfKUCkDhMwAAEem,bhvx:1_iTmd8sPdkd8AAEJN
bhvx:1_4ECVbgEKg44AAAU5,bhvx:1_vuh4BzY4mGgAABdi,8P/NbwqA|E1aaf,bhvx:1_8drOEetFAIYAAAZN,bhvx:1_Qv6G4q9pKN8AA90P
